id;country_en;city_en;lat;lng;population
397;Brazil;Varzea Grande;-15.646248;-56.1327131;249752
398;Brazil;Varginha;-21.5560669;-45.4368543;116571
399;Brazil;Valinhos;-22.9702933;-46.9978148;88630
400;Brazil;Valenca;-22.2459149;-43.7068952;61144
401;Brazil;Valenca;-13.370017;-39.0720559;63231
402;Brazil;Vacaria;-28.5071196;-50.941176;56765
403;Brazil;Uruguaiana;-29.7619121;-57.0858428;123480
404;Brazil;Unai;-16.3596675;-46.902586;60202
405;Brazil;Umuarama;-23.7661064;-53.3206105;89687
406;Brazil;Uberlandia;-18.9146078;-48.2753801;563536
407;Brazil;Uberaba;-19.7473668;-47.939154;260843
408;Brazil;Ubatuba;-23.4336578;-45.0838481;79007
409;Brazil;Uba;-21.120123;-42.9426188;97828
410;Brazil;Tupa;-21.9340017;-50.5195856;62035
411;Brazil;Tubarao;-28.4718138;-49.0148571;67245
412;Brazil;Trindade;-16.6521596;-49.4931169;97521
413;Brazil;Tres Rios;-22.1170043;-43.2189459;71944
414;Brazil;Tres Lagoas;-20.7881689;-51.7030483;78712
415;Brazil;Tres Coracoes;-21.692578;-45.2515461;63457
416;Brazil;Toledo;-24.7251154;-53.7416844;119313
417;Brazil;Timoteo;-19.5815683;-42.6475311;91722
418;Brazil;Teresopolis;-22.4169605;-42.9756016;123979
419;Brazil;Teofilo Otoni;-17.8600089;-41.5091042;101170
420;Brazil;Telemaco Borba;-24.3250032;-50.6180669;58880
421;Brazil;Taubate;-23.0204559;-45.5563555;251641
422;Brazil;Tatui;-23.3492186;-47.8465761;93580
423;Brazil;Taquaritinga;-21.4069762;-48.5052392;50098
424;Brazil;Taboao da Serra;-23.6228759;-46.7816647;214523
425;Brazil;Suzano;-23.5453209;-46.311625;283314
426;Brazil;Sumare;-22.8209029;-47.2732726;227977
427;Brazil;Sorocaba;-23.5015299;-47.4525603;558862
428;Brazil;Sete Lagoas;-19.45738;-44.2416695;201334
429;Brazil;Sertaozinho;-21.1494605;-47.9923651;99211
430;Brazil;Serra;-20.1215224;-40.3077898;394153
431;Brazil;Seropedica;-22.7530802;-43.7159011;54846
432;Brazil;Senador Canedo;-16.7088537;-49.091845;61800
433;Brazil;Sarandi;-23.4445928;-51.8765044;84697
434;Brazil;Saquarema;-22.9323976;-42.4866758;62056
435;Brazil;Sapucaia;-29.83333;-51.15;130937
436;Brazil;Sapiranga;-29.6353852;-51.0069543;76051
437;Brazil;Sao Vicente;-23.9607656;-46.3960797;324457
438;Brazil;Sao Sebastiao do Paraiso;-20.9172128;-46.9841443;68654
439;Brazil;Sao Sebastiao;-23.8063468;-45.4016534;76367
440;Brazil;Sao Roque;-23.5307554;-47.1353998;50540
441;Brazil;Sao Pedro da Aldeia;-22.8433599;-42.1030012;55014
442;Brazil;Sao Paulo;-23.5505199;-46.6333094;10021295
443;Brazil;Sao Mateus;-18.7191438;-39.8567437;77117
444;Brazil;Sao Leopoldo;-29.7549941;-51.150283;209229
445;Brazil;Sao Jose dos Pinhais;-25.5318354;-49.2035722;124224
446;Brazil;Sao Jose dos Campos;-23.223701;-45.9009074;613764
447;Brazil;Sao Jose do Rio Preto;-20.811761;-49.3762272;374699
448;Brazil;Sao Jose;-27.6140791;-48.6370861;200000
449;Brazil;Sao Joao de Meriti;-22.7907664;-43.3699364;454849
450;Brazil;Sao Joao del Rei;-21.1315407;-44.253065;78592
451;Brazil;Sao Joao da Boa Vista;-21.9712313;-46.7947989;76540
452;Brazil;Sao Gabriel;-30.334177;-54.3221953;55434
453;Brazil;Sao Cristovao;-11.0122362;-37.2059339;71539
454;Brazil;Sao Carlos;-22.0087082;-47.8909263;205035
455;Brazil;Sao Caetano do Sul;-23.6233625;-46.5552433;136453
456;Brazil;Sao Borja;-28.6583059;-56.0041451;59613
457;Brazil;Sao Bernardo do Campo;-23.6898429;-46.5648481;743372
458;Brazil;Sao Bento do Sul;-26.2500365;-49.3835566;77597
459;Brazil;Santos;-23.9678823;-46.3288865;411403
460;Brazil;Santo Antonio de Jesus;-12.9698503;-39.2617368;73957
461;Brazil;Santo Angelo;-28.3006117;-54.2673083;64606
